PRICE,BEDROOMS,BATHROOMS,FLOORS,INSTALLMENT_YEARS,HAS_INSTALLMENT,REAL_ESTATE_COMPANY,SIZE(SQM),AMENITIES_نادي صحي مشترك,AMENITIES_حارس أمن,AMENITIES_صالة رياضة مشتركة,AMENITIES_حديقة خاصة,AMENITIES_موقف مغطى,AMENITIES_غرفة خادمة,AMENITIES_مسبح خاص,AMENITIES_مطل على بحيرات,AMENITIES_COUNT,LATITUDE,LONGITUDE,PROPERTY_TYPE
2000000.0,2,3,2.0,0.0,0,هاب تاون,138,0,0,0,0,0,0,0,0,1,30.051855087280277,31.6932315826416,شقة
11696000.0,4,3,-1.0,7.0,1,مونتي نابوليوني,186,1,1,1,0,0,0,0,0,6,30.048423767089844,31.630369186401367,دوبلكس
6850000.0,2,2,-1.0,0.0,0,ذا وندر مارك,119,1,1,0,0,0,0,0,0,6,30.048582077026367,31.640851974487305,فيلا
3250000.0,3,4,-1.0,10.0,1,ذا وندر مارك,180,1,1,1,1,1,1,1,1,18,30.048582077026367,31.640851974487305,فيلا
293550.0,3,2,-1.0,12.0,1,ذا وندر مارك,175,0,1,1,0,1,0,0,1,11,30.048582077026367,31.640851974487305,تاون هاوس
2000000.0,3,2,4.0,0.0,0,سراي,132,1,1,1,0,1,0,0,1,12,30.09417724609375,31.70400047302246,شقة
375000.0,4,4,-1.0,12.0,1,ذا وندر مارك,240,1,1,1,1,1,1,1,1,18,30.048582077026367,31.640851974487305,فيلا
685000.0,2,1,-1.0,12.0,1,ذا وندر مارك,120,0,1,1,0,1,0,0,1,11,30.048582077026367,31.640851974487305,تاون هاوس
590000.0,3,3,-1.0,0.0,0,ذا وندر مارك,250,0,1,1,1,1,0,0,0,9,30.048582077026367,31.640851974487305,تاون هاوس
4850000.0,2,2,0.0,8.0,1,بيتا جرينز,123,0,1,1,0,1,0,0,0,6,30.051855087280277,31.6932315826416,شقة
8500000.0,4,3,-1.0,12.0,1,سراي,175,0,1,0,1,0,1,0,0,6,30.09417724609375,31.70400047302246,فيلا
4700000.0,2,2,4.0,0.0,0,سراي,128,0,1,1,0,1,0,0,1,9,30.09417724609375,31.70400047302246,شقة
14560000.0,3,3,-1.0,2.0,1,أليفا,205,1,1,0,0,1,0,0,0,7,30.057632446289062,31.67757797241211,أي فيلا
13700000.0,2,2,-1.0,12.0,1,ذا وندر مارك,121,0,1,0,0,1,0,0,0,6,30.048582077026367,31.640851974487305,فيلا
5300000.0,2,2,0.0,0.0,0,سراي,144,0,1,1,1,1,0,0,1,9,30.09417724609375,31.70400047302246,شقة
3400000.0,3,4,-1.0,0.0,0,مونارك,215,1,1,1,1,1,1,1,1,18,30.06985282897949,31.638795852661133,تاون هاوس
